Name,Age Rating,Game Id,Install size,Platforms,Sources
Joggernauts,,51f2d354-61ad-4243-8404-d2fdc111fc4e,,PC (Windows),Amazon
after HOURS,,afterhours_trove,,PC (Windows),Humble
Macdows 95,,macdows95_Macdows 95,,,Humble
Caster,,29800,,PC (Windows),Steam
Defend The Highlands,,374830,,PC (Windows),Steam
Darksburg,,939100,,PC (Windows),Steam
Wildfire,PEGI 12,431940,,PC (Windows),Steam
1979 Revolution:Black Friday,,1ea7d6c0-8521-4e57-86f8-70eed1d57584,,PC (Windows),Amazon
Half-Life 2: Episode Two,PEGI 16,420,,PC (Windows),Steam
Suzerain,,amzn1.adg.product.778e283c-b65f-4f04-8184-c992bf2dfd95,,PC (Windows),Amazon
Morphblade,,494720,,PC (Windows),Steam
Grotto,PEGI 18,grotto_choice_Grotto,,,Humble
Batman Arkham City - Game of the Year Edition,PEGI 16,Egret,,PC (Windows),Epic
Who Pressed Mute on Uncle Marcus?,,1628130,,PC (Windows),Steam
12 is Better Than 6,PEGI 16,410110,,PC (Windows),Steam
Over Top,,amzn1.adg.product.af0eafa2-22d5-4a60-af27-1062908c7708,,PC (Windows),Amazon
Need for Speed Heat,PEGI 16,Origin.OFR.50.0003426,,PC (Windows),EA app
"Evan's Remains",,1110050,,PC (Windows),Steam
F.E.A.R.: Extraction Point,PEGI 18,21110,,PC (Windows),Steam
I Am Fish,,1472560,,PC (Windows),Steam
Blade Assault,,amzn1.adg.product.4a10b5b0-d498-4a74-8053-e31f665dc82c,,PC (Windows),Amazon
趣拼拼：肖像画 Pleasure Puzzle:Portrait,,939620,,PC (Windows),Steam
Tiamat,,1456408,,PC (Windows),itch.io
20 Minute Metropolis,,20minutemetropolis_trove,,PC (Windows),Humble
Wasteland 3,,719040,,PC (Windows),Steam
Desert Child,,amzn1.adg.product.3d720bbb-fce0-42bb-b98e-b10e86b211bf,,PC (Windows),Amazon
CRACKHEAD,,554530,,PC (Windows),Steam
Pid ,,218740,,PC (Windows),Steam
Team Racing League,,504460,,PC (Windows),Steam
Slime Rancher,PEGI 3,433340,,PC (Windows),Steam
Aaero,PEGI 7,499890,,PC (Windows),Steam
Nebuchadnezzar,,1157220,,PC (Windows),Steam
Ctrl CV,,502130,,PC (Windows),Steam
Last Day of June,,635320,,PC (Windows),Steam
DmC Devil May Cry,PEGI 16,220440,,PC (Windows),Steam
Planets Under Attack,PEGI 3,218510,,PC (Windows),Steam
Vanguard Princess,,262150,,PC (Windows),Steam
Street Fighter V,,310950,,PC (Windows),Steam
Automachef,,984800,,PC (Windows),Steam
Graveyard Keeper,PEGI 12,599140,,PC (Windows),Steam
SURSHO,,114721,,PC (Windows),itch.io
Gurgamoth,PEGI 7,418360,,PC (Windows),Steam
Heli Heroes,,259320,,PC (Windows),Steam
WRATH: Aeon of Ruin,,1000410,,PC (Windows),Steam
Subterrain,,340490,,PC (Windows),Steam
The Life and Suffering of Sir Brante - Chapter 1 & 2,PEGI 16,1656945959,,PC (Windows),GOG
Recompile,,amzn1.adg.product.dc0a809d-b50b-4a55-95ca-9ea42579cd69,,PC (Windows),Amazon
Commandos 3: Destination Berlin,PEGI 12,6840,,PC (Windows),Steam
ABZU,PEGI 7,Curry,,PC (Windows),Epic
Pikuniku,,73335a5e-887c-4e9e-bd6d-11429cd7fadf,,PC (Windows),Amazon
Tacoma,PEGI 16,343860,,PC (Windows),Steam
Oak Hill,,1561997,,PC (Windows),itch.io
Calico,,1112890,,PC (Windows),Steam
SYNTHETIK,,528230,,PC (Windows),Steam
A Game Of Thrones: The Board Game Digital Edition,,06b8b80d89c24a28a7e91127fcbd9542,,PC (Windows),Epic
Dishonored,PEGI 18,205100,,PC (Windows),Steam
Guild of Dungeoneering,,be2b02e7-5901-4c2a-aa90-77314ee9a0d8,,PC (Windows),Amazon
SUPERHOT: MIND CONTROL DELETE,PEGI 12,690040,,PC (Windows),Steam
>observer_,,Tumeric,,PC (Windows),Epic
Siphonopolis,,1564217,,PC (Windows),itch.io
Alcarys Complex,,91,,PC (Windows),itch.io
Dino D-Day,,70000,,PC (Windows),Steam
Zup! S,,617670,,PC (Windows),Steam
Legion TD 2,,469600,,PC (Windows),Steam
ELDERBORN,,727850,,PC (Windows),Steam
Caveblazers,PEGI 12,1600722961,,PC (Windows),GOG
Escape from Monkey Island,,amzn1.adg.product.5fe86d64-2c5a-4ddf-a574-6e32ca7a0031,,PC (Windows),Amazon
Way of the Passive Fist (Sneak Peek),PEGI 16,wayofthepassivefist_sneakpeek_Way of the Passive Fist (Sneak Peek),,,Humble
Fortnite,,Fortnite,,PC (Windows),Epic
Moonlighter,PEGI 7,606150,,PC (Windows),Steam
Half-Life 2: Deathmatch,,320,,PC (Windows),Steam
Contagion,,238430,,PC (Windows),Steam
Layers of Fear,,345b53a8-5464-427e-9e59-82280938934b,,PC (Windows),Amazon
Overcast - Walden and the Werewolf,,293180,,PC (Windows),Steam
Space Routine,,spaceroutine_Space Routine,,,Humble
F1 2015,PEGI 3,286570,,PC (Windows),Steam
Red Solstice 2: Survivors,,768520,,PC (Windows),Steam
The Coma 2: Vicious Sisters,,1045720,,PC (Windows),Steam
Rise of Industry,,671440,,PC (Windows),Steam
"Warhammer 40,000: Mechanicus - Standard Edition",,dd95e8c01b4b456f8ecbf18376a49c94,,PC (Windows),Epic
Dead Island Definitive Edition,PEGI 18,383150,,PC (Windows),Steam
Dying Light Enhanced Edition,PEGI 18,04a54ed532ce4fbfbf8fd5833f60def0,,PC (Windows),Epic
Divinoids,,divinoids_trove,,PC (Windows),Humble
SteamWorld Dig 2,PEGI 7,1861082507,,PC (Windows),GOG
Gothic Playable Teaser,,950670,,PC (Windows),Steam
Metro 2033,,43110,,PC (Windows),Steam
BIT.TRIP RUNNER,PEGI 3,63710,,PC (Windows),Steam
Turok 2,,10b70606-32b8-462a-ac40-7c3453ee1dd0,,PC (Windows),Amazon
Few Nights More: Genesis,,2713070,,PC (Windows),Steam
Kingdom: New Lands,,6dbb49c6-cd4d-416e-b7d0-cad3088d587d,,PC (Windows),Amazon
Serious Sam Classics: Revolution,,227780,,PC (Windows),Steam
GUILTY GEAR Xrd -SIGN-,,376300,,PC (Windows),Steam
Car Mechanic Simulator 2018,,8032b75cf0914afa87c78d6914adc165,,PC (Windows),Epic
The Walking Dead,,067a7675-cf5e-456d-ab72-615e3bbb34ce,,PC (Windows),Amazon
"Warhammer 40,000: Dawn of War III",PEGI 16,285190,,PC (Windows),Steam
Bakso Simulator,,2022270,,PC (Windows),Steam
The Long Dark,PEGI 16,305620,,PC (Windows),Steam
FortressCraft Evolved,,254200,,PC (Windows),Steam
GRIP: Combat Racing,,396900,,PC (Windows),Steam
Through Abandoned: The Forest,,513340,,PC (Windows),Steam
Showtime!,,285050,,PC (Windows),Steam
Prey,PEGI 18,1158493447,,PC (Windows),GOG
Planet Coaster,PEGI 3,493340,,PC (Windows),Steam
Kabounce,,56df4fcf-d9a1-485d-8ae2-495ff6d6ae4b,,PC (Windows),Amazon
Vertical Drop Heroes HD,PEGI 7,311480,,PC (Windows),Steam
A Story About My Uncle,PEGI 7,278360,,PC (Windows),Steam
Heaven Forest NIGHTS,,360970,,PC (Windows),Steam
Overload,PEGI 12,448850,,PC (Windows),Steam
Rebound Dodgeball Evolved,,1057560,,PC (Windows),Steam
Caramba,,911880,,PC (Windows),Steam
Darksiders Genesis,,710920,,PC (Windows),Steam
PC Building Simulator,PEGI 3,ab277c0995e945d2b2c50c46883627f1,,PC (Windows),Epic
Shadow Tactics Blades of the Shogun,PEGI 16,a334978574a840d594c31521592925f3,,PC (Windows),Epic
Borderlands 2,PEGI 18,49520,,PC (Windows),Steam
NEOVERSE,,994220,,PC (Windows),Steam
theHunter: Call of the Wild,PEGI 16,4f0c34d469bb47b2bcf5b377f47ccfe3,,PC (Windows),Epic
Heroes of the Storm,,Hero,,PC (Windows),Battle.net
GRIME,PEGI 12,028263f54a874e35800d142275254d2c,,PC (Windows),Epic
"Anna's Quest",,7d855d2c-8232-4a39-a945-ed70baee648b,,PC (Windows),Amazon
Garou,,9ebdf97d-7f3e-4235-9412-4ea3c8d133f5,,PC (Windows),Amazon
Stygian: Reign of the Old Ones,,779290,,PC (Windows),Steam
Ziggurat,PEGI 12,1437564865,,PC (Windows),GOG
Barotrauma,,602960,,PC (Windows),Steam
"Invisible, Inc.",PEGI 16,243970,,PC (Windows),Steam
Endzone - A World Apart,,933820,,PC (Windows),Steam
Outlast: Whistleblower,,outlast_whistleblower_Outlast: Whistleblower,,,Humble
TSIOQUE,,393190,,PC (Windows),Steam
King of the Monsters 2,,amzn1.adg.product.42316c09-6463-4624-97fa-e338a5f0cd20,,PC (Windows),Amazon
"The King of Fighters '97 Global Match",,704bc6ca-518d-4284-8604-9bd8fa94599e,,PC (Windows),Amazon
Darksiders Warmastered Edition,PEGI 18,Hake,,PC (Windows),Epic
Tomb Raider I,,224960,,PC (Windows),Steam
BioShock,PEGI 18,7670,,PC (Windows),Steam
Mindball Play,PEGI 3,446850,,PC (Windows),Steam
FRAMED Collection,,1bad64df-146c-496e-84a9-2e102ca30f0a,,PC (Windows),Amazon
Stealth Inc 2: A Game of Clones,,3c41236b-1f48-4ad6-976c-a1f4cb821c5e,,PC (Windows),Amazon
BattleBlock Theater,PEGI 12,238460,,PC (Windows),Steam
Borderlands 3,,397540,,PC (Windows),Steam
Metal Slug 3,,amzn1.adg.product.f6ba026c-693e-4833-9c83-318b569ef454,,PC (Windows),Amazon
Konung 3: Ties of the Dynasty,PEGI 16,289380,,PC (Windows),Steam
Eschalon: Book I,,1207659221,,PC (Windows),GOG
Dandara: Trials of Fear Edition,PEGI 7,612390,,PC (Windows),Steam
SHENZHEN I/O,PEGI 3,504210,,PC (Windows),Steam
Guns of Icarus Online,,209080,,PC (Windows),Steam
The Ship,,2400,,PC (Windows),Steam
THE CORRIDOR,,thecorridor_THE CORRIDOR,,,Humble
Metal: Hellsinger,,1061910,,PC (Windows),Steam
EVE Online,PEGI 12,ab4fa312826b49c0b49a230bc4f5b415,,PC (Windows),Epic
Beat Cop,PEGI 18,1584866499,,PC (Windows),GOG
Twinkle Star Sprites,,66cea04c-bedf-4b41-b484-743ba3424657,,PC (Windows),Amazon
HIVESWAP: ACT 1,,623940,,PC (Windows),Steam
Rogue Mansion,,roguemansion_Rogue Mansion,,,Humble
"Cook, Serve, Delicious! 3?!",,1000030,,PC (Windows),Steam
Recipe for Disaster,PEGI 3,61e074e998044594b7bb566fe111687b,,PC (Windows),Epic
>observer_,,69008e07-590b-4ea1-9aa4-f033ef8b9d2c,,PC (Windows),Amazon
Divine Knockout (DKO),,1294660,,PC (Windows),Steam
Adios,PEGI 16,73c56a1f38a548b2852ce8608c5e436e,,PC (Windows),Epic
Eliza,,716500,,PC (Windows),Steam
Astrologaster,,amzn1.adg.product.bd27e9f5-7d23-4b4c-ab7c-f3103d1c1b5f,,PC (Windows),Amazon
Fallout Tactics: Brotherhood of Steel,PEGI 16,908f75e7f1624819a70c27f543741dcd,,PC (Windows),Epic
Predecessor,,97b084f37e344733ac82f493ac90753c,,PC (Windows),Epic
"Alan Wake's American Nightmare",PEGI 18,202750,,PC (Windows),Steam
Fantasy Royal VR,,1444570,,PC (Windows),Steam
Ninja Commando,,amzn1.adg.product.588ce979-f6b0-44cc-9ff3-7ce8905c3f64,,PC (Windows),Amazon
Atomicrops,,757320,,PC (Windows),Steam
Strike Squadron: Caracará,,507340,,PC (Windows),Steam
Staxel,PEGI 3,405710,,PC (Windows),Steam
Planescape Torment: Enhanced Edition,,amzn1.adg.product.93c268bc-c898-4e7c-b866-ea9c93c781b0,,PC (Windows),Amazon
"There's Poop In My Soup",,449540,,PC (Windows),Steam
The Super Spy,,amzn1.adg.product.f2b75952-ef43-43c0-9b93-2ad29cf96506,,PC (Windows),Amazon
Dink Smallwood HD,,1640863824,,PC (Windows),GOG
Velvet Assassin,PEGI 18,16720,,PC (Windows),Steam
100% Orange Juice,,282800,,PC (Windows),Steam
METAL GEAR SOLID V: THE PHANTOM PAIN,PEGI 18,287700,,PC (Windows),Steam
Call of Duty: Black Ops 4,,VIPR,,PC (Windows),Battle.net
